Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
FM1-GON-200-T3_S4_L001_R1_001	46.407574672	44.0	75.5213014709	4861730.0	16.6666666667
FM1-GON-200-T3_S4_L001_R2_001	44.6393982876	44.0	75.5250390293	4861730.0	16.6666666667
FM2-GON-200-T3_S3_L001_R1_001	47.6292694525	42.0	75.5135142493	4444531.0	16.6666666667
FM2-GON-200-T3_S3_L001_R2_001	46.1223446792	41.0	75.5171702031	4444531.0	16.6666666667
FM3-GON-T0_S1_L001_R1_001	86.8675614633	43.0	75.4762196424	6760916.0	33.3333333333
FM3-GON-T0_S1_L001_R2_001	82.5968236142	42.0	75.4916787903	6760916.0	33.3333333333
FM4-GON-T0_S2_L001_R1_001	90.1946023068	44.0	75.4391202916	4702240.0	41.6666666667
FM4-GON-T0_S2_L001_R2_001	87.1008384225	43.0	75.4786803736	4702240.0	41.6666666667
ML1-GON-T0_S1_L001_R1_001	45.269822778	44.0	75.5243117529	4718109.0	16.6666666667
ML1-GON-T0_S1_L001_R2_001	44.1498840319	44.0	75.5255734872	4718109.0	16.6666666667
ML2-GON-200-T3_S4_L001_R1_001	48.9993632509	46.0	75.5019554615	2111522.0	25.0
ML2-GON-200-T3_S4_L001_R2_001	46.4583792765	46.0	75.5060023054	2111522.0	25.0
ML4-GON-T0_S2_L001_R1_001	50.9638457361	44.0	75.5273166378	5723618.0	25.0
ML4-GON-T0_S2_L001_R2_001	49.6704724556	44.0	75.5286811594	5723618.0	16.6666666667
T0-R_S1_L001_R1_001	48.1295903997	45.0	75.509111446	3604148.0	25.0
T0-R_S1_L001_R2_001	13.5011024685	44.0	75.5193551985	3604148.0	33.3333333333
T0-S1_L001_R1_001	53.8100271777	49.0	75.549094017	6744111.0	25.0
T0-S1_L001_R2_001	51.7422953362	49.0	75.5508970715	6744111.0	25.0
T3-R_S4_L001_R1_001	44.9451773994	44.0	75.5222645471	6616281.0	16.6666666667
T3-R_S4_L001_R2_001	11.1668513309	44.0	75.5257554811	6616281.0	25.0
T3-S4_L001_R1_001	40.0526697139	45.0	75.5292403621	6265261.0	16.6666666667
T3-S4_L001_R2_001	38.7668193179	44.0	75.5279203851	6265261.0	16.6666666667
