Module	Section	Sample Name	Source
FastQC	all_sections	FM1-GON-200-T3_S4_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM1-GON-200-T3_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	ML4-GON-T0_S2_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/ML4-GON-T0_S2_L001_R2_001_fastqc.zip
FastQC	all_sections	T0-S1_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T0-S1_L001_R1_001_fastqc.zip
FastQC	all_sections	FM3-GON-T0_S1_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM3-GON-T0_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	T3-S4_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T3-S4_L001_R2_001_fastqc.zip
FastQC	all_sections	T3-R_S4_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T3-R_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	T3-S4_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T3-S4_L001_R1_001_fastqc.zip
FastQC	all_sections	ML2-GON-200-T3_S4_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/ML2-GON-200-T3_S4_L001_R1_001_fastqc.zip
FastQC	all_sections	ML2-GON-200-T3_S4_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/ML2-GON-200-T3_S4_L001_R2_001_fastqc.zip
FastQC	all_sections	T0-R_S1_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T0-R_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	T0-S1_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T0-S1_L001_R2_001_fastqc.zip
FastQC	all_sections	FM4-GON-T0_S2_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM4-GON-T0_S2_L001_R1_001_fastqc.zip
FastQC	all_sections	ML1-GON-T0_S1_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/ML1-GON-T0_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	FM2-GON-200-T3_S3_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM2-GON-200-T3_S3_L001_R2_001_fastqc.zip
FastQC	all_sections	FM3-GON-T0_S1_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM3-GON-T0_S1_L001_R1_001_fastqc.zip
FastQC	all_sections	FM2-GON-200-T3_S3_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM2-GON-200-T3_S3_L001_R1_001_fastqc.zip
FastQC	all_sections	T3-R_S4_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T3-R_S4_L001_R2_001_fastqc.zip
FastQC	all_sections	FM4-GON-T0_S2_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM4-GON-T0_S2_L001_R2_001_fastqc.zip
FastQC	all_sections	ML4-GON-T0_S2_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/ML4-GON-T0_S2_L001_R1_001_fastqc.zip
FastQC	all_sections	ML1-GON-T0_S1_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/ML1-GON-T0_S1_L001_R2_001_fastqc.zip
FastQC	all_sections	FM1-GON-200-T3_S4_L001_R2_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/FM1-GON-200-T3_S4_L001_R2_001_fastqc.zip
FastQC	all_sections	T0-R_S1_L001_R1_001	/LUSTRE/bioinformatica_data/genomica_funcional/rgomez/oyster-rawdata/gonada_all_sex_vs_hc/raw/T0-R_S1_L001_R1_001_fastqc.zip
