Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
FM1-GON-200-T3_S4_L001_R1_001	pass	0.0	warn	75.5213014709	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	pass	4861730.0	pass	fail	warn	44.0	53.592425328	FM1-GON-200-T3_S4_L001_R1_001.fastq.gz	pass	pass
FM1-GON-200-T3_S4_L001_R2_001	pass	0.0	warn	75.5250390293	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	pass	4861730.0	pass	fail	warn	44.0	55.3606017124	FM1-GON-200-T3_S4_L001_R2_001.fastq.gz	warn	pass
FM2-GON-200-T3_S3_L001_R1_001	pass	0.0	warn	75.5135142493	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	4444531.0	pass	fail	warn	42.0	52.3707305475	FM2-GON-200-T3_S3_L001_R1_001.fastq.gz	pass	pass
FM2-GON-200-T3_S3_L001_R2_001	pass	0.0	warn	75.5171702031	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	4444531.0	pass	fail	warn	41.0	53.8776553208	FM2-GON-200-T3_S3_L001_R2_001.fastq.gz	warn	pass
FM3-GON-T0_S1_L001_R1_001	pass	0.0	fail	75.4762196424	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	6760916.0	pass	fail	fail	43.0	13.1324385367	FM3-GON-T0_S1_L001_R1_001.fastq.gz	pass	pass
FM3-GON-T0_S1_L001_R2_001	pass	0.0	fail	75.4916787903	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	6760916.0	pass	fail	fail	42.0	17.4031763858	FM3-GON-T0_S1_L001_R2_001.fastq.gz	warn	pass
FM4-GON-T0_S2_L001_R1_001	pass	0.0	fail	75.4391202916	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	4702240.0	pass	fail	fail	44.0	9.80539769324	FM4-GON-T0_S2_L001_R1_001.fastq.gz	pass	pass
FM4-GON-T0_S2_L001_R2_001	pass	0.0	fail	75.4786803736	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	fail	4702240.0	pass	fail	fail	43.0	12.8991615775	FM4-GON-T0_S2_L001_R2_001.fastq.gz	warn	pass
ML1-GON-T0_S1_L001_R1_001	pass	0.0	warn	75.5243117529	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	pass	4718109.0	pass	fail	warn	44.0	54.730177222	ML1-GON-T0_S1_L001_R1_001.fastq.gz	pass	pass
ML1-GON-T0_S1_L001_R2_001	pass	0.0	warn	75.5255734872	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	pass	4718109.0	pass	fail	warn	44.0	55.8501159681	ML1-GON-T0_S1_L001_R2_001.fastq.gz	pass	pass
ML2-GON-200-T3_S4_L001_R1_001	pass	0.0	warn	75.5019554615	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	warn	2111522.0	pass	fail	fail	46.0	51.0006367491	ML2-GON-200-T3_S4_L001_R1_001.fastq.gz	pass	pass
ML2-GON-200-T3_S4_L001_R2_001	pass	0.0	warn	75.5060023054	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	pass	2111522.0	pass	fail	fail	46.0	53.5416207235	ML2-GON-200-T3_S4_L001_R2_001.fastq.gz	pass	pass
ML4-GON-T0_S2_L001_R1_001	pass	0.0	fail	75.5273166378	Sanger / Illumina 1.9	fail	pass	warn	35-76	Conventional base calls	pass	pass	5723618.0	pass	fail	warn	44.0	49.0361542639	ML4-GON-T0_S2_L001_R1_001.fastq.gz	pass	pass
